Identifier,BioReactor,Culture_Present,Nutrient_Present,Plastic_Present,Temperature_C,Initial_Plastic_Weight_mg,Culture_Volume_mL,Nutrient_Volume_mL,Final_Plastic_Weight_mg,Control_or_Replicate,MC,Tube,WL,ExpStartDate,ExpEndDate,Project,Wall_Growth_RFU,Suspension_RFU
CAPL001,Mix004,1,1,1,25,46.527,80,0.4,44.367,Replicate,MCMIX004,1,WW,20240927,20241029100000,Plastic,249.58,11.58
CAPL002,Mix004,1,1,1,25,40.403,80,0.4,41.216,Replicate,MCMIX004,2,WW,20240927,20241029100000,Plastic,1019.53,3.755
CAPL003,Mix004,1,1,1,25,43.192,80,0.4,43.108,Replicate,MCMIX004,3,WW,20240927,20241029100000,Plastic,1855.4,6.105
CAPL004,Mix004,1,1,1,25,32.477,80,0.4,38.7,Replicate,MCMIX004,4,WW,20240927,20241029100000,Plastic,2102.13,12.855
CAPL005,Mix004,1,1,1,25,34.146,80,0.4,32.732,Replicate,MCMIX004,5,WW,20240927,20241029100000,Plastic,209.5,7.905
CAPL006,Mix004,1,1,0,25,NA,80,0.4,NA,Control,MCMIX004,6,WW,20240927,20241029100000,Plastic,1816.17,3.035
CAPL007,Mix004,0,1,1,25,33.221,80,0.4,31.374,Control,MCMIX004,7,WW,20240927,20241029100000,Plastic,0.57,0.18
CAPL008,Mix004,0,0,1,25,40.184,80,0.4,38.19,Control,MCMIX004,8,WW,20240927,20241029100000,Plastic,0.22,0.19
CAPL009,Mix006,0,0,1,15,39.983,80,0.4,38.9,Control,MCMIX006,1,WW,20240927,20241029100000,Plastic,0.24,0.225
CAPL010,Mix006,0,1,1,15,36.447,80,0.4,35.029,Control,MCMIX006,2,WW,20240927,20241029100000,Plastic,0.26,0.18
CAPL011,Mix006,1,1,0,15,NA,80,0.4,NA,Control,MCMIX006,3,WW,20240927,20241029100000,Plastic,339.73,8.21
CAPL012,Mix006,1,1,1,15,43.026,80,0.4,31.009,Replicate,MCMIX006,4,WW,20240927,20241029100000,Plastic,357.71,8.375
CAPL013,Mix006,1,1,1,15,30.635,80,0.4,29.66,Replicate,MCMIX006,5,WW,20240927,20241029100000,Plastic,1224.23,3.495
CAPL014,Mix006,1,1,1,15,46.416,80,0.4,44.78,Replicate,MCMIX006,6,WW,20240927,20241029100000,Plastic,1570.72,2.73
CAPL015,Mix006,1,1,1,15,36.872,80,0.4,35.579,Replicate,MCMIX006,7,WW,20240927,20241029100000,Plastic,1558.8,9.15
CAPL016,Mix006,1,1,1,15,44.694,80,0.4,41.765,Replicate,MCMIX006,8,WW,20240927,20241029100000,Plastic,769.38,136.38
